,No,Country,Continent,LifeExpect,GDPPC,MfgMn$,AgriMn$,CO2kt,HealthPC$,Pop_mn
63,64,Grenada,North America,74.863,9887.920742358343,40.92,56.79,346.2,487.60290527,0.12
64,65,Guatemala,North America,73.129,4647.807340004272,10658.49,7260.93,19017.8,278.54898071,16.6
65,66,Guinea,Africa,59.72,1043.8998861952325,1398.11,3552.58,4517.0,42.68258286,12.88
66,67,Guyana,South America,69.124,6477.29672607993,261.23,910.34,2795.9,319.36257935,0.8
67,68,Haiti,North America,64.255,1345.475054820826,2515.15,2881.2,3317.34,49.08564227,11.16
68,69,Honduras,North America,72.881,2519.3661934217466,4102.47,2698.08,10196.4,184.03918457,9.96
69,70,"Hong Kong SAR, China",Asia,85.18048780487806,48359.00325221114,3747.62,262.51,69270.55,294.46008301,7.51
70,71,Hungary,Europe,76.31951219512194,16786.213639907455,28593.63,5465.83,47261.8,1053.72363281,9.77
71,72,Iceland,Europe,83.16341463414635,68403.14480952844,2087.23,1081.03,1638.2,5865.23144531,0.36
72,73,India,Asia,70.91,2050.163789732353,381553.72,475121.94,2423951.4,60.66871643,1383.11
73,74,Indonesia,Asia,70.518,4151.227554541349,220502.28,142266.72,605290.6,120.58958435,269.58
74,75,"Iran, Islamic Rep.",Asia,76.103,3276.753265080995,51186.25,37795.93,625251.5,450.59701538,86.56
75,76,Iraq,Asia,71.576,5621.1816949175245,4994.05,8808.1,180687.6,239.57891846,41.56
76,77,Ireland,Europe,82.70243902439026,80927.07467106514,126126.17,3613.86,35812.2,5430.99707031,4.93
77,78,Isle of Man,Europe,80.737,87152.45301740452,156.75,23.16,37661.6,2219.10058594,0.08
78,79,Israel,Asia,82.8048780487805,44452.232562309255,45858.73,5387.28,62796.3,3454.46801758,9.05
79,80,Italy,Europe,83.49756097560977,33673.75096274145,299365.4,38361.48,317223.0,2910.62792969,59.73
80,81,Jamaica,North America,71.767,5626.170402610687,1225.06,1111.26,8394.3,343.06192017,2.81
81,82,Japan,Asia,84.35634146341464,40415.956764954695,1035072.43,53173.27,1073645.3,4378.77490234,126.63
82,83,Jordan,Asia,76.044,4159.671407653436,7817.99,1945.64,23147.9,314.88452148,10.7
83,84,Kazakhstan,Asia,73.18,9812.59553636276,20830.62,8113.87,204592.2,270.01306152,18.51
84,85,Kenya,Africa,62.943,1970.0800629653995,7934.53,20940.11,19481.9,86.06783295,50.95
85,86,Kiribati,Oceania,67.15,1410.0150899639593,6.75,45.38,73.6,163.10388184,0.12
86,87,"Korea, Rep.",Asia,83.22682926829269,31902.416904819416,416525.57,27544.59,612133.7,2595.22338867,51.76
87,88,Kosovo,Europe,79.022,4416.031321831732,1016.12,571.84,37661.6,2219.10058594,1.79
88,89,Kuwait,Asia,79.685,30666.220664001456,9769.12,523.77,93863.6,1643.56970215,4.44
89,90,Kyrgyz Republic,Asia,71.60000000000001,1374.031136389979,1305.02,1034.81,10017.4,63.05092621,6.46
90,91,Lao PDR,Asia,68.138,2598.505523207226,1432.47,3007.92,19170.9,67.81835938,7.21
91,92,Latvia,Europe,75.3878048780488,17945.222216498118,3640.55,1430.84,7569.1,1183.1151123,1.91
92,93,Lebanon,Asia,79.236,8925.421860186505,3638.98,1635.44,26916.5,731.67156982,5.78
93,94,Lesotho,Africa,54.173,1094.499437754959,411.84,106.46,2300.1,120.54795837,2.23
94,95,Liechtenstein,Europe,84.16097560975611,167259.16031181638,2497.95,8.96,149.025716,2219.10058594,0.04
95,96,Lithuania,Europe,76.28292682926829,19598.400870435693,8805.81,1699.17,11735.8,1369.97949219,2.79
96,97,Luxembourg,Europe,82.63902439024392,112621.82133740172,3486.2,154.04,9500.3,6221.73876953,0.62
97,98,"Macao SAR, China",Asia,84.978,83183.47238630458,308.66,0.0,69270.55,294.46008301,0.66
98,99,Madagascar,Africa,65.882,512.2796655826662,1423.17,3237.9,3927.7,19.35046577,27.53
99,100,Malaysia,Asia,75.76,11132.103453205167,78180.9,26443.65,244882.0,427.46286011,32.8
100,101,Maldives,Asia,80.116,11118.526234652365,114.71,258.26,1999.5,851.50939941,0.5
101,102,Mali,Africa,59.664,840.1757461325514,1142.73,6446.88,3937.4,32.61206436,20.57
102,103,Malta,Europe,82.85853658536587,31506.556844596354,1118.36,74.04,1658.6,2943.63134766,0.5
103,104,Marshall Islands,Oceania,64.746,5188.9711142908245,11.45,42.83,152.3,782.23565674,0.04
104,105,Mauritania,Africa,65.687,1839.9627779847813,475.66,1746.49,3824.8,60.2051506,4.38
105,106,Mauritius,Africa,74.23585365853658,11403.252894220139,1518.71,390.83,4173.7,671.86047363,1.27
106,107,Mexico,North America,74.202,10145.152627959309,218959.55,43034.96,451828.8,552.70422363,125.09
107,108,"Micronesia, Fed. Sts.",Oceania,71.077,3699.081514468616,2.01,95.81,148.2,420.57949829,0.11
108,109,Moldova,Europe,70.935,4404.950422495968,1161.18,1192.45,8921.6,284.30636597,2.66
109,110,Mongolia,Asia,71.822,4394.947150101118,1004.33,1642.03,23146.9,182.86535645,3.23
110,111,Montenegro,Europe,76.6829268292683,8909.65333601178,206.06,354.35,2601.1,732.34954834,0.62
111,112,Morocco,Africa,74.27,3498.58251953125,19015.03,13978.05,70986.3,177.24794006,36.3
112,113,Mozambique,Africa,61.166,508.1634037566621,1359.27,3726.15,7530.2,40.41281128,30.29
113,114,Namibia,Africa,63.075,5126.176142816734,1563.03,888.47,4316.3,431.81781006,2.45
114,115,Nepal,Asia,69.558,1185.682318136053,1702.96,7378.53,13860.5,52.83312607,28.83
115,116,Netherlands,Europe,82.11219512195122,52476.273253331776,98068.21,14889.01,145939.237,5340.61279297,17.34
116,117,New Zealand,Oceania,82.05609756097562,42796.43058183891,20767.19,12119.58,34008.2,4081.59082031,4.98
117,118,Nicaragua,North America,74.054,1905.6383130518916,1782.88,1972.12,5131.9,161.98634338,6.66
118,119,Niger,Africa,62.897,550.9635431418053,946.9,4768.09,2159.15,31.21994209,23.44
119,120,Nigeria,Africa,52.91,2334.0235430840817,54675.61,103949.2,119544.1,69.68148041,203.3
